	48	48.1	918	62	941	93	0	OTHER
0	50	50	949	58	968	89	.	OTHER
1	52	55	969	52	1023	86	file	OTHER
2	110	117	990	102	1102	139	69050.09	box2FederalIncomeTaxWithheld
3	135	145	312	140	467	183	451-10-1014	ssnOfEmployee
4	183	191	736	190	863	230	137045.22	box3SocialSecurityWages
5	205	211	1067	200	1165	234	3413.24	OTHER
6	271	279	1072	247	1199	288	127313-28	OTHER
7	281	287	84	287	186	324	Gilbert	employerName
8	289	291	197	279	242	307	The	employerName
9	293	295	250	271	298	300	104	employerName
10	317	325	750	292	876	331	137045.22	OTHER
11	327	331	88	323	164	357	75745	employerAddressStreet_name
12	333	339	173	309	273	345	Jessica	employerAddressStreet_name
13	341	347	279	294	383	331	Mission	employerAddressStreet_name
14	349	353	394	282	469	315	Suite	employerAddressStreet_name
15	355	357	477	274	523	303	832	employerAddressStreet_name
16	360	369	92	348	236	393	Bryanmouth	employerAddressCity
17	376	381	119	512	217	551	Janice	employeeName
18	383	388	257	493	355	533	Wright	employeeName
19	392	395	124	560	195	598	4047	OTHER
20	397	401	199	548	290	587	Paula	OTHER
21	403	408	295	532	394	574	Square	OTHER
22	412	420	127	590	272	635	Doesaview	OTHER
23	422	423	319	578	352	609	IL	OTHER
24	425	434	397	551	556	598	03012-8323	OTHER
25	490	496	1002	631	1105	668	24724.7	OTHER
26	539	547	803	656	929	696	149216.83	OTHER
27	585	588	640	763	794	837	2018	taxYear
28	599	608	222	786	364	829	917-42-572	OTHER
29	620	623	235	830	302	862	Wage	OTHER
30	625	627	304	823	355	853	and	OTHER
31	629	631	358	817	397	846	Tax	OTHER
