	0	0.1	241	360	321	382	Ayers	OTHER
0	34	34	216	4	226	19	a	OTHER
1	36	45	235	4	309	19	Employee's	OTHER
2	47	52	311	4	350	18	social	OTHER
3	54	61	352	4	403	18	security	OTHER
4	63	68	405	4	456	18	number	OTHER
5	114	118	782	3	820	19	Safe,	OTHER
6	120	128	822	3	897	19	Accurate,	OTHER
7	130	131	911	15	943	38	Re	OTHER
8	136	139	976	15	1022	39	file	OTHER
9	141	142	1048	29	1061	43	at	OTHER
10	143	147	1048	4	1079	20	Visit	OTHER
11	157	159	1081	4	1103	20	the	OTHER
12	161	163	1105	4	1133	20	IRS	OTHER
13	165	171	1137	4	1196	19	Website	OTHER
14	221	231	312	25	461	45	496-29-3911	ssnOfEmployee
15	260	262	611	27	641	42	OMB	OTHER
16	264	266	645	27	669	41	No.	OTHER
17	268	276	671	27	728	41	1545-0008	OTHER
18	288	292	781	25	831	42	FAST!	OTHER
19	294	296	834	26	865	42	Use	OTHER
20	326	343	1063	29	1185	45	www.irs.gov/efile.	OTHER
21	346	346	11	55	21	70	b	OTHER
22	348	355	28	55	84	70	Employer	OTHER
23	357	370	86	56	160	69	identification	OTHER
24	372	377	163	55	208	70	number	OTHER
25	379	383	210	54	241	70	(EIN)	OTHER
26	446	451	704	56	750	70	Wages,	OTHER
27	453	457	752	56	780	69	tips,	OTHER
28	459	463	782	56	812	69	other	OTHER
29	465	476	815	56	898	69	compensation	OTHER
30	483	483	972	56	981	70	2	OTHER
31	485	491	994	56	1038	69	Federal	OTHER
32	493	498	1041	57	1084	69	income	OTHER
33	500	502	1087	57	1106	68	tax	OTHER
34	504	511	1109	56	1157	68	withheld	OTHER
35	523	532	67	79	203	97	71-4911193	einEmployerIdentificationNumber
36	619	624	725	79	808	97	100924	box1WagesTipsAndOtherCompensations
37	626	626	811	79	821	97	.	box1WagesTipsAndOtherCompensations
38	628	629	824	79	849	97	96	box1WagesTipsAndOtherCompensations
39	653	657	986	79	1053	97	19892	box2FederalIncomeTaxWithheld
40	659	659	1059	79	1068	97	.	box2FederalIncomeTaxWithheld
41	661	662	1071	79	1096	97	62	box2FederalIncomeTaxWithheld
42	665	665	13	107	22	122	c	OTHER
43	667	676	28	107	92	122	Employer's	OTHER
44	678	682	95	108	133	122	name,	OTHER
45	684	691	136	108	188	122	address,	OTHER
46	693	695	191	108	212	122	and	OTHER
47	697	699	214	107	235	122	ZIP	OTHER
48	701	704	238	107	267	122	code	OTHER
49	763	763	681	105	691	120	3	OTHER
50	765	770	705	107	742	121	Social	OTHER
51	772	779	744	108	791	122	security	OTHER
52	781	785	793	109	829	122	wages	OTHER
53	802	802	972	104	982	120	4	OTHER
54	804	809	995	107	1032	121	Social	OTHER
55	811	818	1034	108	1081	121	security	OTHER
56	820	822	1083	107	1103	121	tax	OTHER
57	824	831	1105	106	1155	121	withheld	OTHER
58	843	855	66	131	248	152	Cook-Mitchell	employerName
59	857	859	262	131	303	153	and	employerName
60	861	864	319	131	373	153	Sons	employerName
61	939	944	725	132	809	151	115314	box3SocialSecurityWages
62	946	946	812	131	820	151	.	box3SocialSecurityWages
63	948	949	824	131	848	151	19	box3SocialSecurityWages
64	973	976	987	132	1041	150	8821	box4SocialSecurityTaxWithheld
65	978	980	1044	131	1082	150	.54	box4SocialSecurityTaxWithheld
66	992	994	66	165	106	186	215	employerAddressStreet_name
67	996	1000	120	166	191	188	Brady	employerAddressStreet_name
68	1002	1009	205	165	318	188	Overpass	employerAddressStreet_name
69	1011	1014	331	165	391	188	Apt.	employerAddressStreet_name
70	1016	1018	405	164	443	186	775	employerAddressStreet_name
71	1080	1080	680	156	690	172	5	OTHER
72	1082	1089	703	157	758	172	Medicare	OTHER
73	1091	1095	761	159	800	172	wages	OTHER
74	1097	1099	803	159	824	173	and	OTHER
75	1101	1104	827	159	848	173	tips	OTHER
76	1120	1120	972	157	981	172	6	OTHER
77	1122	1129	993	158	1048	172	Medicare	OTHER
78	1131	1133	1051	159	1070	171	tax	OTHER
79	1135	1142	1072	158	1123	171	withheld	OTHER
80	1250	1254	726	183	795	201	78836	OTHER
81	1256	1258	798	182	835	202	.45	OTHER
82	1294	1300	1050	181	1146	200	2286.26	OTHER
83	1312	1320	64	199	191	221	Wrightton	employerAddressCity
84	1342	1343	248	198	274	217	FL	employerAddressState
85	1353	1362	333	198	471	219	47332-7657	employerAddressZip
86	1401	1401	680	208	691	222	7	OTHER
87	1403	1408	705	209	742	223	Social	OTHER
88	1410	1417	745	210	792	223	security	OTHER
89	1419	1422	794	210	815	223	tips	OTHER
90	1440	1440	971	209	982	223	8	OTHER
91	1442	1450	993	209	1049	223	Allocated	OTHER
92	1452	1455	1051	210	1070	223	tips	OTHER
93	1563	1568	725	233	807	252	115314	OTHER
94	1570	1572	811	233	847	252	.19	OTHER
95	1608	1612	1051	233	1118	253	78836	OTHER
96	1614	1614	1122	233	1131	252	.	OTHER
97	1616	1617	1135	232	1158	252	45	OTHER
98	1621	1621	13	260	21	273	d	OTHER
99	1623	1629	28	261	70	274	Control	OTHER
100	1631	1636	73	261	119	274	number	OTHER
101	1717	1717	681	259	690	273	9	OTHER
102	1719	1730	704	260	770	274	Verification	OTHER
103	1732	1735	772	261	801	274	Code	OTHER
104	1756	1757	965	260	979	273	10	OTHER
105	1759	1767	994	261	1058	274	Dependent	OTHER
106	1769	1772	1060	261	1087	274	care	OTHER
107	1774	1781	1090	261	1134	274	benefits	OTHER
108	1794	1800	67	284	162	304	8660260	OTHER
109	1934	1936	1050	283	1088	302	197	OTHER
110	1939	1939	12	311	22	326	e	OTHER
111	1941	1950	27	311	95	326	Employee's	OTHER
112	1952	1956	98	312	121	326	first	OTHER
113	1958	1961	123	312	158	325	name	OTHER
114	1963	1965	161	312	182	325	and	OTHER
115	1967	1973	184	312	216	325	initial	OTHER
116	1980	1983	280	311	305	325	Last	OTHER
117	1985	1988	307	312	340	326	name	OTHER
118	2029	2033	635	309	665	325	Suff.	OTHER
119	2035	2036	674	310	692	325	11	OTHER
120	2038	2049	703	310	775	325	Nonqualified	OTHER
121	2051	2055	778	311	808	325	plans	OTHER
122	2075	2077	967	310	985	322	12a	OTHER
123	2079	2081	1009	311	1033	325	See	OTHER
124	2083	2094	1036	311	1109	325	instructions	OTHER
125	2096	2098	1112	311	1130	324	for	OTHER
