	26	36	315	23	466	46	403-55-9637	ssnOfEmployee
0	61	62	904	13	945	41	Ce	OTHER
1	64	64	956	12	972	41	.	OTHER
2	66	69	976	12	1025	41	file	OTHER
3	76	85	65	75	206	100	06-7076127	einEmployerIdentificationNumber
4	120	128	725	75	849	99	183106.34	box1WagesTipsAndOtherCompensations
5	138	145	986	73	1100	99	(2037.04	box2FederalIncomeTaxWithheld
6	152	163	65	129	235	153	Baker-Memeil	employerName
7	165	167	245	128	291	153	Led	employerName
8	196	204	725	130	848	153	142194.16	box3SocialSecurityWages
9	214	221	987	127	1097	152	10877.85	box4SocialSecurityTaxWithheld
10	228	231	66	160	126	189	3250	employerAddressStreet_name
11	233	237	133	162	210	189	Brown	employerAddressStreet_name
12	239	243	219	163	295	189	Pines	employerAddressStreet_name
13	245	248	303	162	366	189	Apt.	employerAddressStreet_name
14	250	252	373	161	420	188	530	employerAddressStreet_name
15	259	267	67	196	194	223	Jasonfort	employerAddressCity
16	269	271	216	195	251	222	NOT	employerAddressState
17	273	282	261	195	404	223	86498-7130	employerAddressZip
18	303	310	725	180	835	204	144645.7	OTHER
19	328	334	1051	179	1147	202	4194.73	OTHER
20	385	393	726	230	851	254	142194.10	OTHER
21	410	417	1049	229	1160	254	144645.7	OTHER
22	424	430	66	280	166	305	1869774	OTHER
23	493	495	1050	282	1089	302	237	OTHER
24	503	507	64	357	149	386	Kayla	employeeName
25	509	515	161	357	273	386	Simmons	employeeName
26	547	549	726	343	761	364	240	OTHER
27	572	575	1051	340	1103	363	4550	OTHER
28	582	585	66	401	134	431	7001	OTHER
29	587	592	144	402	245	431	Foster	OTHER
30	594	602	257	403	406	431	Stravenue	OTHER
31	604	608	418	402	502	431	Suite	OTHER
32	610	612	514	402	562	430	568	OTHER
33	651	652	1050	405	1080	426	93	OTHER
34	659	662	64	442	133	470	Lake	OTHER
35	664	670	144	441	260	470	Lindsey	OTHER
36	672	673	290	440	325	470	TX	OTHER
37	675	684	354	440	517	470	82541-8343	OTHER
38	754	754	1005	467	1016	483	D	OTHER
39	768	777	134	598	269	623	487-41-141	OTHER
40	786	793	347	597	460	623	94960.51	OTHER
41	798	803	540	596	623	622	3010.6	OTHER
42	806	814	724	596	852	625	177290.52	OTHER
43	820	827	927	596	1040	624	2EE44.65	OTHER
44	839	848	133	647	271	673	334-68-420	OTHER
45	857	863	346	646	444	674	87659.9	OTHER
46	869	875	541	648	638	674	6035.36	OTHER
47	877	885	726	644	855	674	164920.97	OTHER
48	891	897	928	646	1022	675	20171.1	OTHER
49	909	912	138	683	206	708	Wage	OTHER
50	914	916	210	683	257	708	and	OTHER
51	918	920	264	683	305	708	Tax	OTHER
52	939	942	551	685	695	740	2019	taxYear
53	944	947	4	721	35	739	from	OTHER
54	949	950	49	720	76	739	wa	OTHER
55	982	992	313	896	466	923	403-55-9637	OTHER
56	998	1007	64	946	205	974	06-7076127	OTHER
57	1043	1051	724	946	850	973	183106.34	OTHER
58	1060	1067	986	946	1096	973	(2037.04	OTHER
59	1073	1084	64	999	236	1024	Baker-Mcneil	OTHER
60	1086	1088	245	999	289	1024	Ltd	OTHER
61	1118	1126	724	999	847	1024	142194.18	OTHER
62	1135	1142	986	997	1097	1023	10877.85	OTHER
63	1148	1151	66	1031	125	1059	3250	OTHER
64	1153	1157	134	1033	209	1060	Brown	OTHER
65	1159	1163	218	1034	293	1060	Pines	OTHER
66	1165	1168	301	1033	365	1060	Apt.	OTHER
67	1170	1172	372	1032	416	1060	530	OTHER
68	1178	1186	67	1065	197	1092	Jasonfort	OTHER
69	1188	1189	216	1066	255	1093	NT	OTHER
70	1191	1200	261	1066	405	1093	06498-7130	OTHER
