	0	0.1	987	892	1029	909	penalty	OTHER
0	34	34	215	3	226	21	a	OTHER
1	36	45	235	3	308	20	Employee's	OTHER
2	47	52	311	2	349	20	social	OTHER
3	54	61	352	2	402	20	security	OTHER
4	63	68	405	3	457	20	number	OTHER
5	124	128	783	1	819	20	Safe,	OTHER
6	130	138	823	2	898	23	Accurate,	OTHER
7	168	172	1048	3	1078	20	Visit	OTHER
8	174	176	1081	4	1104	20	the	OTHER
9	178	180	1106	4	1133	20	IRS	OTHER
10	182	188	1136	3	1194	20	Website	OTHER
11	238	248	312	25	466	46	331-13-8982	ssnOfEmployee
12	286	288	611	27	642	42	OMB	OTHER
13	290	292	644	26	669	42	No.	OTHER
14	294	302	671	24	733	42	1545-0008	OTHER
15	304	308	780	24	831	43	FAST!	OTHER
16	310	312	834	25	864	44	Use	OTHER
17	314	315	912	13	945	39	re	OTHER
18	317	320	974	15	1024	40	file	OTHER
19	322	323	1047	28	1060	45	at	OTHER
20	325	331	1063	28	1120	45	www.irs	OTHER
21	333	341	1123	28	1182	45	gov.efile	OTHER
22	344	344	11	56	21	71	b	OTHER
23	346	353	28	56	84	72	Employer	OTHER
24	355	368	87	56	159	72	identification	OTHER
25	370	375	162	55	207	72	number	OTHER
26	377	381	210	55	241	70	(EIN)	OTHER
27	453	458	703	55	750	71	Wages,	OTHER
28	460	464	752	55	780	72	tips,	OTHER
29	466	470	782	56	813	72	other	OTHER
30	472	483	815	56	897	72	compensation	OTHER
31	502	508	993	56	1037	72	Federal	OTHER
32	510	515	1040	55	1084	72	income	OTHER
33	517	519	1087	55	1107	72	tax	OTHER
34	521	528	1109	55	1159	71	withheld	OTHER
35	540	549	66	77	203	100	27-0420737	einEmployerIdentificationNumber
36	645	651	726	77	819	99	127623.	box1WagesTipsAndOtherCompensations
37	653	654	823	77	847	99	85	box1WagesTipsAndOtherCompensations
38	689	693	987	77	1054	98	22640	box2FederalIncomeTaxWithheld
39	695	695	1057	77	1067	99	.	OTHER
40	697	698	1070	78	1097	99	08	box2FederalIncomeTaxWithheld
41	701	701	12	107	23	124	c	OTHER
42	703	712	27	107	92	124	Employer's	OTHER
43	714	718	95	107	134	124	name,	OTHER
44	720	727	137	107	188	124	address,	OTHER
45	729	731	191	107	213	124	and	OTHER
46	733	735	216	107	235	123	ZIP	OTHER
47	737	740	238	107	271	123	code	OTHER
48	811	816	705	107	741	124	Social	OTHER
49	818	825	744	107	790	124	security	OTHER
50	827	831	793	107	835	125	wages	OTHER
51	858	863	995	106	1032	124	Social	OTHER
52	865	872	1035	107	1080	124	security	OTHER
53	874	876	1083	108	1103	124	tax	OTHER
54	878	885	1106	107	1152	123	withheld	OTHER
55	897	909	65	131	247	153	Harrison-King	employerName
56	911	913	260	131	304	153	LLC	employerName
57	1001	1006	725	130	808	152	135362	box3SocialSecurityWages
58	1008	1008	811	130	823	153	.	box3SocialSecurityWages
59	1010	1011	825	129	850	153	73	box3SocialSecurityWages
60	1045	1049	986	131	1055	152	10355	box4SocialSecurityTaxWithheld
61	1051	1051	1058	131	1067	152	.	box4SocialSecurityTaxWithheld
62	1053	1054	1070	131	1094	152	25	box4SocialSecurityTaxWithheld
63	1066	1069	66	163	123	188	2373	employerAddressStreet_name
64	1071	1077	134	164	233	189	Deborah	employerAddressStreet_name
65	1079	1082	247	165	305	188	Pike	employerAddressStreet_name
66	1084	1087	316	164	377	188	Apt.	employerAddressStreet_name
67	1089	1091	388	163	429	187	595	employerAddressStreet_name
68	1161	1161	680	155	693	174	5	OTHER
69	1163	1170	703	156	757	174	Medicare	OTHER
70	1172	1176	760	157	799	175	wages	OTHER
71	1178	1180	802	158	824	175	and	OTHER
72	1182	1185	827	158	853	175	tips	OTHER
73	1212	1212	970	156	981	173	6	OTHER
74	1214	1221	993	157	1047	174	Medicare	OTHER
75	1223	1225	1050	157	1070	174	tax	OTHER
76	1227	1234	1073	157	1120	174	withheld	OTHER
77	1351	1356	727	182	808	203	145871	OTHER
78	1358	1358	812	182	821	203	.	OTHER
79	1360	1361	824	182	850	203	42	OTHER
80	1405	1411	1052	182	1144	202	4230.27	OTHER
81	1423	1425	64	200	106	220	New	employerAddressCity
82	1427	1433	119	200	221	222	Michael	employerAddressCity
83	1435	1436	274	198	303	220	OH	employerAddressState
84	1438	1447	332	196	470	221	22910-7576	employerAddressZip
85	1524	1529	705	209	741	227	Social	OTHER
86	1531	1538	744	209	790	227	security	OTHER
87	1540	1543	793	209	819	227	tips	OTHER
88	1571	1579	994	209	1049	225	Allocated	OTHER
89	1581	1584	1052	209	1077	224	tips	OTHER
90	1700	1705	725	233	808	254	135362	OTHER
91	1707	1707	811	232	822	254	.	OTHER
92	1709	1710	825	231	848	254	73	OTHER
93	1755	1760	1051	233	1133	254	145871	OTHER
94	1762	1762	1137	232	1145	254	.	OTHER
95	1764	1765	1148	232	1174	254	42	OTHER
96	1769	1769	14	259	25	274	d	OTHER
97	1771	1777	28	258	71	275	Control	OTHER
98	1779	1784	73	258	116	276	number	OTHER
99	1922	1923	964	258	979	273	10	OTHER
100	1925	1933	994	259	1058	276	Dependent	OTHER
101	1935	1938	1060	259	1087	276	care	OTHER
102	1940	1947	1089	260	1135	276	benefits	OTHER
103	1961	1967	67	283	161	304	5730545	OTHER
104	2118	2120	1051	285	1082	304	125	OTHER
105	2123	2123	11	311	22	326	e	OTHER
106	2125	2134	27	312	96	327	Employee's	OTHER
107	2136	2140	98	312	121	327	first	OTHER
108	2142	2145	123	311	158	327	name	OTHER
109	2147	2149	160	311	182	327	and	OTHER
110	2151	2157	185	310	219	326	initial	OTHER
111	2165	2168	278	310	305	327	Last	OTHER
112	2170	2173	308	310	343	327	name	OTHER
113	2221	2225	633	309	665	326	Suff.	OTHER
114	2227	2228	674	310	691	326	11	OTHER
115	2230	2241	703	310	776	326	Nonqualified	OTHER
116	2243	2247	778	312	812	326	plans	OTHER
117	2278	2280	967	311	990	326	12a	OTHER
118	2282	2284	1009	310	1034	325	See	OTHER
119	2286	2297	1036	311	1110	325	instructions	OTHER
120	2299	2301	1112	311	1130	325	for	OTHER
121	2303	2305	1133	310	1159	325	box	OTHER
122	2307	2308	1163	310	1177	325	12	OTHER
123	2321	2329	65	359	210	383	Frederick	employeeName
124	2331	2335	240	359	323	383	Baker	employeeName
125	2424	2426	726	346	759	362	129	OTHER
126	2472	2472	1007	345	1016	358	D	OTHER
127	2479	2482	1052	343	1099	364	7838	OTHER
128	2589	2590	675	371	690	385	13	OTHER
129	2592	2600	692	372	738	386	Statutory	OTHER
130	2710	2717	692	387	737	401	employee	OTHER
131	2719	2728	779	372	835	389	Retirement	OTHER
132	2730	2733	867	386	885	402	sick	OTHER
133	2740	2750	867	372	917	387	Third-party	OTHER
134	2895	2897	888	386	907	402	pay	OTHER
135	2907	2909	967	370	988	385	12b	OTHER
136	2922	2926	65	403	148	428	56963	OTHER
137	2928	2934	163	405	274	428	Johnson	OTHER
138	2936	2938	288	407	337	429	Rue	OTHER
139	3020	3020	698	406	713	428	X	OTHER
140	3073	3073	1006	409	1017	423	K	OTHER
141	3075	3077	1050	406	1086	427	852	OTHER
142	3090	3093	66	445	129	468	Lake	OTHER
143	3095	3100	146	446	243	467	Teresa	OTHER
144	3125	3126	304	444	337	465	KS	OTHER
145	3141	3150	403	442	562	467	45038-7308	OTHER
146	3184	3185	674	436	691	451	14	OTHER
147	3187	3191	705	436	735	451	Other	OTHER
