	0	0.1	737	258	819	282	161049	OTHER
0	0	0	985	327	1005	341	12a	OTHER
1	0	0	571	635	639	660	9187.	box17StateIncomeTax
2	0	0	46	833	76	852	This	OTHER
3	116	120	782	28	820	44	Safe,	OTHER
4	122	130	823	25	893	42	Accurate.	OTHER
5	132	134	905	32	973	58	hey	OTHER
6	136	139	976	29	1025	56	file	OTHER
7	141	145	1047	14	1078	31	Visit	OTHER
8	165	167	1081	13	1103	30	the	OTHER
9	169	171	1105	11	1133	29	IRS	OTHER
10	173	179	1135	8	1195	28	Website	OTHER
11	339	340	1049	41	1062	57	at	OTHER
12	342	344	1064	38	1097	56	www	OTHER
13	346	348	1101	37	1120	54	irs	OTHER
14	350	357	1123	32	1183	53	govefile	OTHER
15	392	392	216	59	226	74	a	OTHER
16	394	403	234	55	308	73	Employee's	OTHER
17	405	410	311	53	350	70	social	OTHER
18	412	419	353	50	403	68	security	OTHER
19	421	426	405	46	455	65	number	OTHER
20	475	485	313	67	467	97	007-80-4407	ssnOfEmployee
21	516	519	613	61	643	78	ONAB	OTHER
22	521	524	645	59	669	75	The.	OTHER
23	526	534	671	56	730	74	1545-0608	OTHER
24	536	540	781	50	833	68	FAST!	OTHER
25	542	544	835	49	866	66	Use	OTHER
26	577	583	996	68	1040	85	Federal	OTHER
27	585	590	1042	65	1086	83	income	OTHER
28	592	594	1089	64	1109	81	tax	OTHER
29	596	598	1112	63	1126	79	wit	OTHER
30	702	707	706	84	753	100	Wages.	OTHER
31	709	714	755	82	782	98	bigis.	OTHER
32	716	720	784	80	815	97	other	OTHER
33	722	723	818	79	834	95	co	OTHER
34	747	753	992	88	1086	113	72935.2	box2FederalIncomeTaxWithheld
35	755	755	14	121	25	137	b	OTHER
36	757	764	31	118	87	136	Employer	OTHER
37	766	779	90	114	163	133	identification	OTHER
38	781	786	166	111	210	129	number	OTHER
39	788	791	213	109	244	127	(END	OTHER
40	862	867	729	103	812	127	219087	box1WagesTipsAndOtherCompensations
41	869	869	815	102	824	124	.	box1WagesTipsAndOtherCompensations
42	871	872	827	100	852	123	68	box1WagesTipsAndOtherCompensations
